"FullName","Length"
"E:\JAWALE\Acid Drinkers\1991 - Dirty Money, Dirty Tricks\Acid Drinkers - Dirty Money, Dirty~ - 14 - Zorba.flac","2895313"
"E:\JAWALE\Acid Drinkers\1991 - Dirty Money, Dirty Tricks\Acid Drinkers - Dirty Money, Dirty~ - 15 - Flooded with Wine.flac","26323697"
"E:\JAWALE\Acid Drinkers\1991 - Dirty Money, Dirty Tricks\cover.jpg","1685956"
"E:\JAWALE\Acid Drinkers\1991 - Dirty Money, Dirty Tricks\Dirty Money, Dirty Tricks.log","837"
"E:\JAWALE\Acid Drinkers\1991 - Dirty Money, Dirty Tricks\[Scans]\Acid_Drinkers_-_Dirty_Money_Dirty_Tricks_-_Back.jpg","4922220"
"E:\JAWALE\Acid Drinkers\1991 - Dirty Money, Dirty Tricks\[Scans]\Acid_Drinkers_-_Dirty_Money_Dirty_Tricks_-_CD.jpg","1156653"
"E:\JAWALE\Acid Drinkers\1991 - Dirty Money, Dirty Tricks\[Scans]\Acid_Drinkers_-_Dirty_Money_Dirty_Tricks_-_Front_+_Inside.jpg","8323165"
"E:\JAWALE\Acid Drinkers\1991 - Dirty Money, Dirty Tricks\[Scans]\Acid_Drinkers_-_Dirty_Money_Dirty_Tricks_-_Inside.jpg","2175749"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 01 - Strip Tease.flac","25329469"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 02 -  King Kong Bless You.flac","18280352"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 03 - Seek and Destroy.flac","26518650"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 04 - Rock'n'Roll Beast.flac","31960517"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 05 - Rats  Feeling Nasty.flac","31131546"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 06 - Poplin Twist.flac","33491018"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 07 - Masterhood of Heart~.flac","31445651"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 08 - You Are Lost My Dear.flac","30159105"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 09 - Menel Song  Always~.flac","18979327"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 10 - Blood Is Boiling.flac","35559435"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 11 - My Caddish Promise.flac","32721082"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 12 - Mentally Deficient.flac","29114155"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 13 - Hell It Is a Place~.flac","34971594"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 14 - Ronnie and the Brot~.flac","22512526"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease - 15 - I'm a Rocker.flac","37728423"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\Acid Drinkers - Strip Tease.LOG","775"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\AcidDrinkers_StripTease_back.jpg","204124"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\AcidDrinkers_StripTease_cd.jpg","91976"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\AcidDrinkers_StripTease_front.jpg","632836"
"E:\JAWALE\Acid Drinkers\1992 - Strip Tease\cover.jpg","334348"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\Acid Drinkers - Fishdick - 01 - Ace of Spades (Motö~.flac","23393040"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\Acid Drinkers - Fishdick - 02 - Oh, No! Bruno (NoMe~.flac","23819052"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\Acid Drinkers - Fishdick - 03 - Deuce (Kiss Cover).flac","24136063"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\Acid Drinkers - Fishdick - 04 - N.I.B. (Black Sabba~.flac","26597536"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\Acid Drinkers - Fishdick - 05 - Another Brick in th~.flac","46319744"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\Acid Drinkers - Fishdick - 06 - Whole Lotta Rosie (~.flac","25967727"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\Acid Drinkers - Fishdick - 07 - Run Run Away (Slade~.flac","22462510"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\Acid Drinkers - Fishdick - 08 - Fuckin' the Tiger.flac","23270808"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\Acid Drinkers - Fishdick - 09 - Highway Star (Deep~.flac","21779818"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\Acid Drinkers - Fishdick - 10 - Balada (Flapjack).flac","35498693"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\cover.jpg","880850"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\Fishdick.log","2049"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\COVER\Acid Drinkers_fishdick_inside.jpg","148764"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\COVER\CD.jpg","2325889"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\COVER\digipack 1.jpg","3548824"
"E:\JAWALE\Acid Drinkers\1993 - Fishdick\COVER\digipack 2.jpg","2543436"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 01 - Zero.flac","25719541"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 02 - (Voluntary) Kamikaz~.flac","26319692"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 03 - Vile Vicious Vision.flac","30254990"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 04 - Pizza Driver.flac","32251406"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 05 - Under the Gun.flac","26408346"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 06 - Marian Is a Metal Guru.flac","22386051"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 07 - Murzyn Mariusz.flac","29439523"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 08 - Balbinattor Edzy.flac","25793577"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 09 - Then She Kissed Me.flac","20437024"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 10 - Hats off (2 This Lady).flac","29200380"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 11 - Polish Blood.flac","23480685"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 12 - Bonus Track.flac","26112131"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision - 13 - Midnight Visitor.flac","21385278"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\Acid Drinkers - Vile Vicious Vision.log","2270"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\cover.jpg","864575"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\foo_dr.txt","1569"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\COVER\back.jpg","2557751"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\COVER\booklet 1.jpg","8162600"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\COVER\booklet 2.jpg","8285315"
"E:\JAWALE\Acid Drinkers\1993 - Vile Vicious Vision\COVER\CD.jpg","1924512"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 01 - Hiperenigmatic Stuf~.flac","28868450"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 02 - Anybody Home!!.flac","27161862"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 03 - The Joker.flac","24771980"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 04 - Track Time 66,6 Sec.flac","9034642"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 05 - Drug Dealer.flac","27835476"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 06 - Slow and Stoned (Me~.flac","36388147"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 07 - Dancing in the Slau~.flac","20584606"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 08 - IQ Cyco.flac","23776213"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 09 - Backyard Bandit.flac","26421234"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 10 - Infernal Connection.flac","43656228"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 11 - Konsument.flac","23773926"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 12 - Pizza Driver - Live.flac","32307218"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 13 - Two Be One - Live.flac","30537989"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 14 - Drug Dealer - Live.flac","21808192"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 15 - Street Rockin' - Live.flac","29390809"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 16 - Slow and Stoned (Me~.flac","32472080"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 17 - The Joker - Live.flac","20072904"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 18 - Seek & Destroy - Live.flac","22543648"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal Connection - 19 - Wild Thing - Live.flac","18305272"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal connection - wkladka - part 1.jpg","169775"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Acid Drinkers - Infernal connection - wkladka - part 2.jpg","194865"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\back side.bmp","3314726"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\cover.bmp","2725634"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\cover.png","1039492"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\front side.bmp","2725634"
"E:\JAWALE\Acid Drinkers\1994 - Infernal Connection\Infernal Connection.LOG","885"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\Acid Drinkers - The State of Mind R~ - 01 - Private Eco.flac","27953571"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\Acid Drinkers - The State of Mind R~ - 02 - Two Be One.flac","33898493"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\Acid Drinkers - The State of Mind R~ - 03 - 24 Radical Questions.flac","34028277"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\Acid Drinkers - The State of Mind R~ - 04 - Solid Rock.flac","40904483"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\Acid Drinkers - The State of Mind R~ - 05 - United Suicide Legion.flac","42510373"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\Acid Drinkers - The State of Mind R~ - 06 - Pump the Plastic Heart.flac","42189060"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\Acid Drinkers - The State of Mind R~ - 07 - Maximum Overload.flac","35169585"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\Acid Drinkers - The State of Mind R~ - 08 - Solid Rock Part II.flac","33622315"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\Acid Drinkers - The State of Mind R~ - 09 - Wild Thing.flac","21173964"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\Acid Drinkers - The State of Mind R~ - 10 - Walkway to Heaven.flac","51681922"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\cover.jpg","79336"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\iNFO.txt","483"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\The State Of Mind Report (book1).jpg","230428"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\The State Of Mind Report (book2).jpg","183147"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\The State Of Mind Report (book3).jpg","76706"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\The State Of Mind Report (book4).jpg","79336"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\The State Of Mind Report (front).jpg","51549"
"E:\JAWALE\Acid Drinkers\1996 - The State Of Mind Report\The State Of Mind Report.log","974"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 01 - Rattlesnake Blues.flac","32556460"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 02 - Human Bazooka.flac","33790371"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 03 - High Proof Cosmic Milk.flac","40692203"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 04 - What's Happening in~.flac","32501793"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 05 - More Life.flac","35410405"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 06 - Be My Godzilla.flac","29639197"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 07 - Dementia Blvd.flac","46385092"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 08 - Blind Leadin' the Blind.flac","33485978"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 09 - Gain on Shit.flac","32434374"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 10 - Proud Mary.flac","38985575"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 11 - Sad Like a Coal Check.flac","23828099"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\Acid Drinkers - High Proof Cosmic Milk - 12 - Blind Leadin the Bl~.flac","26206670"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\cover.jpg","604694"
"E:\JAWALE\Acid Drinkers\1998 - High Proof Cosmic Milk\foo_dr.txt","1565"
